615	American Indian College of the Assemblies of God			48
619	American Public University System	826	93	
633	Aquinas College - Grand Rapids, MI		75	52
634	Aquinas College - Nashville, TN	1215	64	49
693	Berkeley College - Woodland Park, NJ			34
694	Berkeley College - New York, NY		50	32
699	Bethel College - North Newton, KS	1067	75	58
700	Bethel University - McKenzie, TN	1025	62	39
839	Concordia College - Selma, AL		39	8
867	CUNY--College of Staten Island	985	83	47
869	CUNY--John Jay College of Criminal Justice	930	77	43
871	CUNY--Medgar Evers College	776	61	10
933	Emmanuel College - Franklin Springs, GA	947	63	38
1068	Inter American University of Puerto Rico--Metropolitan Campus			
1102	King's College - Wilkes-Barre, PA	1036	78	68
1144	Lincoln University - Jefferson City, MO			23
1422	Robert Morris University - Moon Township, PA	1021	77	54
1448	Sanford College of Nursing			
1522	St. Francis Medical Center College of Nursing			
1528	St. John's College - Santa Fe, NM		72	54
1529	St. John's College - Springfield, IL			
1530	St. John's University - Collegeville, MN	1057	91	77
1534	St. Joseph's College - Standish, ME		93	57
1540	St. Luke's College of Health Sciences			
1560	Sterling College - Craftsbury Common, VT		65	49
1619	Trinity University - San Antonio, TX	1241	89	80
1623	Union College - Barbourville, KY		56	34
1625	Union College - Schenectady, NY	1293	93	83
1724	University of St. Francis - Joliet, IL		79	56
1725	University of St. Francis - Fort Wayne, IN	963	72	50
1824	Westminster College - New Wilmington, PA	1063	86	78
1861	Leadership Institute of Seattle Saybrook University			
1864	California State University- Sacremento			
1867	Al Mustansiriyah Uni.	826		
1880	Univeristy of California, Merced			
1884	New York University Gallatin			
1888	National College of Midwifery	800		
1901	JKUAT, Kenya	826		
1911	Keller Scholl of management	920		
1913	West wood college	960		
1932	Some Shit School			
1943	University of Masschusetts Amherst			
1955	KBP Satara,India			
1964	Keller Grad School of Management	920		
1965	Academy of Economic Studies Romania	826		
1985	Saginaw Valley State Univesity			
2001	Edinburgh University or similar in that area, applying for 2015			
2007	Art Institute of Phildelphia	820		
2010	Northeastern University & Eastern Nazarene College			
2011	asdasd			
2012	American Univ. of Dubai			
